date,description,amount
2026-01-02,Salary Credit,120000
2026-01-03,Rent Payment,30000
2026-01-04,BigBasket Grocery,2200
2026-01-05,Netflix Subscription,649
2026-01-06,Spotify Premium,119
2026-01-07,Uber Ride,380
2026-01-08,Swiggy Food Order,520
2026-01-09,Amazon Shopping,3299
2026-01-10,Electricity Bill,3150
2026-01-11,Internet Bill,999
2026-01-12,YouTube Premium,129
2026-01-13,Petrol Station,2400
2026-01-14,Pharmacy Purchase,860
2026-01-15,Gym Membership,1800
2026-01-16,Apple iCloud Storage,149
2026-01-17,Metro Recharge,500
2026-01-18,Zomato Delivery,470
2026-01-19,Amazon Prime,299
2026-01-20,Bookstore,1250
2026-01-21,Movie Tickets,850
2026-02-02,Salary Credit,120000
2026-02-03,Rent Payment,30000
2026-02-04,BigBasket Grocery,2450
2026-02-05,Netflix Subscription,649
2026-02-06,Spotify Premium,119
2026-02-07,Uber Ride,420
2026-02-08,Swiggy Food Order,610
2026-02-09,Amazon Shopping,2890
2026-02-10,Electricity Bill,3340
2026-02-11,Internet Bill,999
2026-02-12,YouTube Premium,129
2026-02-13,Petrol Station,2100
2026-02-14,Pharmacy Purchase,930
2026-02-15,Gym Membership,1800
2026-02-16,Apple iCloud Storage,149
2026-02-17,Metro Recharge,500
2026-02-18,Zomato Delivery,540
2026-02-19,Amazon Prime,299
2026-02-20,Coursera Subscription,999
2026-02-21,Restaurant Dinner,1850
2026-03-02,Salary Credit,120000
2026-03-03,Rent Payment,30000
2026-03-04,BigBasket Grocery,2380
2026-03-05,Netflix Subscription,649
2026-03-06,Spotify Premium,119
2026-03-07,Uber Ride,360
2026-03-08,Swiggy Food Order,575
2026-03-09,Amazon Shopping,3410
2026-03-10,Electricity Bill,3220
2026-03-11,Internet Bill,999
2026-03-12,YouTube Premium,129
2026-03-13,Petrol Station,2300
2026-03-14,Pharmacy Purchase,780
2026-03-15,Gym Membership,1800
2026-03-16,Apple iCloud Storage,149
2026-03-17,Metro Recharge,500
2026-03-18,Zomato Delivery,495
2026-03-19,Amazon Prime,299
2026-03-20,Coursera Subscription,999
2026-03-21,Flight Booking,8200
