date,description,amount
2026-03-01,Swiggy Food Order,450
2026-03-02,Netflix Subscription,199
2026-03-03,Amazon Shopping,1200
2026-03-04,Uber Cab Ride,320
2026-03-05,Zomato Delivery,380
2026-03-06,Spotify Premium,119
2026-03-07,Flipkart Order,2500
2026-03-08,Swiggy Food Order,520
2026-03-09,Metro Card Recharge,500
2026-03-10,Netflix Subscription,199
2026-03-11,Udemy Course,999
2026-03-12,Amazon Shopping,750
2026-03-13,Ola Bike,85
2026-03-14,BigBasket Grocery,1800
2026-03-15,Spotify Premium,119
2026-03-16,Zomato Delivery,450
2026-03-17,Petrol Station,1500
2026-03-18,Swiggy Food Order,600
2026-03-19,Amazon Prime,299
2026-03-20,Coursera Subscription,999
2026-03-21,Myntra Purchase,3200
2026-03-22,Uber Cab Ride,280
2026-03-23,Netflix Subscription,199
2026-03-24,Swiggy Food Order,390
2026-03-25,Jio Recharge,239
2026-03-26,KFC Order,540
2026-03-27,Amazon Shopping,899
2026-03-28,Spotify Premium,119
2026-03-29,Ola Auto,120
2026-03-30,Dominos Pizza,650
